ID,name,organism,desc,source
MER0000104,kallikrein 1-related peptidase b16,Mus musculus,,
MER0000105,kallikrein 1-related peptidase b22,Mus musculus,,
MER0000106,kallikrein 1,Rattus sp.,,
MER0000107,kallikrein 1-related peptidase c2,Rattus norvegicus,,
MER0000109,kallikrein 1-related peptidase c7,Rattus sp.,,
MER0000110,kallikrein 1-related peptidase c8,Rattus norvegicus,,
MER0000111,kallikrein 1-related peptidase c9,Rattus sp.,,
MER0000112,kallikrein 1-related peptidase c10,Rattus norvegicus,,
MER0000113,kallikrein 1-related peptidase c12,Rattus norvegicus,,
MER0000114,renal kallikrein,Mastomys natalensis,,
MER0000115,kallikrein-related peptidase 3,Homo sapiens,[S01.162]#S01A#{peptidase unit: 25-260},KLK3_HUMAN
MER0000117,arginine esterase,Canis-type,,
MER0000118,elastase-2,Homo sapiens,[S01.131]#S01A#{peptidase unit: 30-249},ELNE_HUMAN
MER0000119,azurocidin,Homo sapiens,[S01.971]#S01A#{peptidase unit: 27-246},CAP7_HUMAN
MER0000121,mast cell peptidase 5,mouse numbering,,
MER0000123,chymase,Homo sapiens-type,,
MER0000124,chymase 1,Mus musculus-type,,
MER0000125,mast cell peptidase 4,mouse numbering,,
MER0000126,mast cell peptidase 1,Rattus-type,,
MER0000127,mast cell peptidase 2,Mus musculus,,
MER0000130,complement factor D,Homo sapiens,[S01.191]#S01A#{peptidase unit: 26-253},CFAD_HUMAN
MER0000132,hypodermin C,Hypoderma lineatum,[S01.121]#S01A#{peptidase unit: 31-259},COGS_HYPLI
MER0000133,vitellin-degrading peptidase,Bombyx-type,,
MER0000134,tryptase,"mammalian, non-Homo sapiens-type",,
MER0000135,tryptase alpha,Homo sapiens,[S01.143]#S01A#{peptidase unit: 31-274},TRYB1_HUMAN
MER0000136,tryptase beta,Homo sapiens,[S01.015]#S01A#{peptidase unit: 31-274},TRYB2_HUMAN
MER0000138,mast cell peptidase 6,mouse numbering,,
MER0000139,mast cell peptidase 7,mouse numbering,,
MER0000141,ADAM4 protein,Mus musculus,[M12.952]#M12B#{peptidase unit: 49-115},Q60815_MOUSE
MER0000142,elastase-1,Sus scrofa,[S01.153]#S01A#{peptidase unit: 27-266},EL1_PIG
MER0000144,pancreatic elastase II,Sus scrofa,[S01.155]#S01A#{peptidase unit: 29-269},EL2_PIG
MER0000147,pancreatic elastase IIB,Homo sapiens,[S01.206]#S01A#{peptidase unit: 29-269},EL2B_HUMAN
MER0000149,pancreatic endopeptidase E,Homo sapiens,[S01.154]#S01A#{peptidase unit: 29-270},CEL3A_HUMAN
MER0000150,pancreatic endopeptidase E form B,Homo sapiens,[S01.205]#S01A#{peptidase unit: 29-270},EL3B_HUMAN
MER0000153,batroxobin,Bothrops atrox,[S01.176]#S01A#{peptidase unit: 25-249},VSPA_BOTAT
MER0000154,ACC-C peptidase,Agkistrodon contortrix,[S01.466]#S01A#{peptidase unit: 1-224},VSPCA_AGKCO
MER0000155,granzyme M,Rattus norvegicus,[S01.139]#S01A#{peptidase unit: 21-252},GRAM_RAT
MER0000156,hepsin,Homo sapiens,[S01.224]#S01A#{peptidase unit: 163-407},HEPS_HUMAN
MER0000158,natural killer cell peptidase 1,Rattus norvegicus,,
MER0000160,"granzyme B, rodent-type",Mus musculus,[S01.136]#S01A#{peptidase unit: 21-247},Q3TZH4
MER0000161,granzyme C,Mus musculus,[S01.137]#S01A#{peptidase unit: 21-248},GRAC_MOUSE
MER0000162,granzyme D,Mus musculus,[S01.398]#S01A#{peptidase unit: 21-252},GRAD_MOUSE
MER0000163,granzyme E,Mus musculus,[S01.399]#S01A#{peptidase unit: 21-248},GRAE_MOUSE
MER0000164,granzyme F,Mus musculus,,
MER0000165,granzyme G,Mus musculus,,
MER0000166,granzyme H,Homo sapiens,[S01.147]#S01A#{peptidase unit: 21-246},GRAH_HUMAN
MER0000168,granzyme B,Homo sapiens-type,,
MER0000169,mastin,Canis familiaris,[S01.145]#S01A#{peptidase unit: 31-277},TRYM_CANFA
MER0000170,myeloblastin,Homo sapiens,[S01.134]#S01A#{peptidase unit: 28-250},PRN3_HUMAN
MER0000172,carboxypeptidase A complex component III,Bos taurus,[S01.983]#S01A#{peptidase unit: 70-311},XP_592291
MER0000175,plasmin,Homo sapiens,[S01.233]#S01A#{peptidase unit: 581-810},PLMN_HUMAN
MER0000183,apolipoprotein,Homo sapiens,[S01.999]#S01A#{peptidase unit: 4328-4541},APOA_HUMAN
MER0000185,hepatocyte growth factor,Homo sapiens,[S01.976]#S01A#{peptidase unit: 452-723},HGF_HUMAN
MER0000186,hepatocyte growth factor activator,Homo sapiens,[S01.228]#S01A#{peptidase unit: 408-648},HGFA_HUMAN
MER0000187,coagulation factor XIIa,Homo sapiens,[S01.211]#S01A#{peptidase unit: 373-615},FA12_HUMAN
MER0000188,thrombin,Homo sapiens,[S01.217]#S01A#{peptidase unit: 364-620},THRB_HUMAN
MER0000192,t-plasminogen activator,Homo sapiens,[S01.232]#S01A#{peptidase unit: 311-562},TPA_HUMAN
MER0000195,urokinase-type plasminogen activator,Homo sapiens,[S01.231]#S01A#{peptidase unit: 179-431},UROK_HUMAN
MER0000203,plasma kallikrein,Homo sapiens,[S01.212]#S01A#{peptidase unit: 391-628},KAL_HUMAN
MER0000207,enteropeptidase,Bos taurus,[S01.156]#S01A#{peptidase unit: 801-1035},ENTK_BOVIN
MER0000210,coagulation factor XIa,Homo sapiens,[S01.213]#S01A#{peptidase unit: 388-625},FA11_HUMAN
MER0000211,Snake peptidase,Insecta,,
MER0000212,coagulation factor Xa,Homo sapiens,[S01.216]#S01A#{peptidase unit: 235-469},FA10_HUMAN
MER0000215,coagulation factor VIIa,Homo sapiens,[S01.215]#S01A#{peptidase unit: 213-454},FA7_HUMAN
MER0000216,coagulation factor IXa,Homo sapiens,[S01.214]#S01A#{peptidase unit: 227-461},FA9_HUMAN
MER0000222,protein C,activated,,
MER0000227,protein Z,Homo sapiens,[S01.979]#S01A#{peptidase unit: 135-400},PRTZ_HUMAN
MER0000228,complement factor I,Homo sapiens,[S01.199]#S01A#{peptidase unit: 340-576},CFAI_HUMAN
MER0000229,complement factor Bb,Homo sapiens,[S01.196]#S01A#{peptidase unit: 440-727},CFAB_HUMAN
MER0000231,complement component C2a,Homo sapiens,[S01.194]#S01A#{peptidase unit: 453-707},CO2_HUMAN
MER0000233,haptoglobin-1,Homo sapiens,[S01.972]#S01A#{peptidase unit: 162-406},HPT2_HUMAN
MER0000235,haptoglobin-related protein,Homo sapiens,[S01.974]#S01A#{peptidase unit: 104-348},HPTR_HUMAN
MER0000237,coagulation factor C,"Limulus, Tachypleus, activated",,
MER0000238,complement component activated C1r,Homo sapiens,[S01.192]#S01A#{peptidase unit: 478-716},BAG60662
MER0000239,complement component activated C1s,Homo sapiens,[S01.193]#S01A#{peptidase unit: 438-682},C1S_HUMAN
MER0000243,fruit bromelain,Ananas comosus,[C01.028]#C01A#{peptidase unit: 123-337},BROM1_ANACO
MER0000244,mannan-binding lectin-associated serine peptidase 1,Homo sapiens,[S01.198]#S01A#{peptidase unit: 449-698},CRAR_HUMAN
MER0000245,clotting enzyme,Tachypleus-type,,
MER0000246,Easter peptidase,Drosophila melanogaster,[S01.201]#S01A#{peptidase unit: 128-392},EAST_DROME
MER0000247,Stubble peptidase,Insecta,,
MER0000249,alpha-lytic endopeptidase,Lysobacter enzymogenes,[S01.268]#S01E#{peptidase unit: 202-395},PRLA_LYSEN
MER0000251,streptogrisin A,Streptomyces griseus,[S01.261]#S01E#{peptidase unit: 116-297},PRTA_STRGR
MER0000252,streptogrisin B,Streptomyces griseus,[S01.262]#S01E#{peptidase unit: 114-299},PRTB_STRGR
MER0000254,streptogrisin E,Streptomyces griseus,[S01.267]#S01E#{peptidase unit: 1-187},GLUP_STRGR
MER0000257,streptogrisin C,Streptomyces griseus,[S01.265]#S01E#{peptidase unit: 204-391},PRTC_STRGR
MER0000260,yeast-lytic peptidase,Rarobacter faecitabidus,[S01.276]#S01E#{peptidase unit: 213-395},SP1_RARFA
MER0000261,exfoliatin A,Staphylococcus aureus,[S01.270]#S01B#{peptidase unit: 60-280},ETA_STAAU
MER0000263,dipeptidyl-peptidase 5,Aspergillus fumigatus,[S09.012]#S09C#{peptidase unit: 453-693},DPP5_ASPFU
MER0000264,glutamyl endopeptidase I,Staphylococcus aureus,[S01.269]#S01B#{peptidase unit: 69-336},STSP_STAAU
MER0000265,glutamyl peptidase BL,Bacillus licheniformis,[S01.271]#S01D#{peptidase unit: 96-270},GSEP_BACLI
MER0000266,DegP peptidase,Escherichia coli,[S01.273]#S01C#{peptidase unit: 114-269},DEGP_ECOLI
MER0000268,HtrA peptidase,Chlamydia trachomatis-type,,
MER0000269,togavirin,,[S03.001]#S03#{peptidase unit: 1-264},POLS_SINDV
MER0000277,lysyl endopeptidase,bacteria,,
MER0000278,IgA1-specific serine peptidase,Neisseria-type,,
MER0000281,Tsh peptidase,Escherichia coli,[S06.003]#S06#{peptidase unit: 53-780},HBP_ECOLI
MER0000285,Mername-AA258 peptidase,Homo sapiens,[S01.327]#S01A#{peptidase unit: 55-299},NP_001128558
MER0000290,flavivirin,,[S07.001]#S07#{peptidase unit: 1485-1666},POLG_YEFVT
MER0000295,hepacivirin,,[S29.001]#S29#{peptidase unit: 1027-1282},POLG_HCV1
MER0000297,potyvirus P1 peptidase,,[S30.001]#S30#{peptidase unit: 1-301},POLG_PPVD
MER0000304,equine arteritis virus serine peptidase,,[S32.001]#S32#{peptidase unit: 1065-1261},RPOA_EAVBU
MER0000309,subtilisin Carlsberg,Bacillus licheniformis,[S08.001]#S08A#{peptidase unit: 106-379},SUBT_BACLI
MER0000310,subtilisin DY,Bacillus subtilis,[S08.037]#S08A#{peptidase unit: 1-274},SUBD_BACLI
MER0000311,subtilisin BPN',Bacillus amyloliquefaciens,[S08.034]#S08A#{peptidase unit: 108-382},SUBT_BACAM
MER0000312,subtilisin amylosacchariticus,Bacillus subtilis,[S08.042]#S08A#{peptidase unit: 107-381},SUBT_BACSA
MER0000313,subtilisin E,Bacillus subtilis,[S08.036]#S08A#{peptidase unit: 107-381},SUBT_BACSU
MER0000315,alkaline peptidase,Bacillus alcalophilus,,
MER0000316,subtilisin YaB,Bacillus sp.,[S08.157]#S08A#{peptidase unit: 111-378},ELYA_BACSP
MER0000319,EPR peptidase,Bacillus sp.,,
MER0000320,IspA peptidase,Bacillus subtilis,[S08.030]#S08A#{peptidase unit: 19-306},ISP1_BACSU
MER0000321,peptidase Vpr,Bacillus-type,,
MER0000325,aqualysin 1,Thermus aquaticus,[S08.051]#S08A#{peptidase unit: 128-453},AQL1_THEAQ
MER0000326,secreted peptidase A,Vibrio alginolyticus,[S08.050]#S08A#{peptidase unit: 142-451},PROA_VIBAL
MER0000328,Prb1 peptidase,Trichoderma harzianum,[S08.066]#S08A#{peptidase unit: 121-409},ALP_TRIHA
MER0000329,extracellular subtilisin,Serratia marcescens-like peptidase,,
MER0000332,subtilisin Ak1,Geobacillus stearothermophilus,[S08.009]#S08A#{peptidase unit: 130-400},THES_BACSP
MER0000333,thermitase,Thermoactinomyces vulgaris,[S08.007]#S08A#{peptidase unit: 8-278},THET_THEVU
MER0000335,endopeptidase K,Engyodontium album,[S08.054]#S08A#{peptidase unit: 106-384},PRTK_TRIAL
MER0000336,peptidase T,Engyodontium album,[S08.061]#S08A#{peptidase unit: 3-293},PRTT_TRIAL
MER0000338,cuticle-degrading peptidase of parasitic fungus,Metarhizium anisopliae,[S08.056]#S08A#{peptidase unit: 108-388},CUDP_METAN
MER0000340,alkaline peptidase,Yarrowia lipolytica,,
MER0000344,oryzin,Aspergillus flavus,[S08.053]#S08A#{peptidase unit: 106-403},ORYZ_ASPFL
MER0000347,bacillopeptidase F,Bacillus subtilis,[S08.017]#S08A#{peptidase unit: 156-664},SUBF_BACSU
MER0000348,EpiP lantibiotic leader peptidase,Staphylococcus epidermidis,[S08.060]#S08A#{peptidase unit: 107-460},EPIP_STAEP
MER0000349,C5a peptidase,Streptococcus pyogenes,"[S08.020]#S08A#{peptidase unit: 50-311, 449-570}",SCA1_STRPY
MER0000350,NisP,Lactococcus lactis-type lantibiotic leader peptidase,,
MER0000351,lactocepin I,Lactococcus lactis,"[S08.019]#S08A#{peptidase unit: 176-400, 576-636}",P1P_LACLC
MER0000353,lactocepin-3,Lactococcus lactis,"[S08.116]#S08A#{peptidase unit: 125-399, 577-628}",P3P_LACLC
MER0000356,cerevisin,Saccharomyces cerevisiae,[S08.052]#S08A#{peptidase unit: 269-635},PRTB_YEAST
MER0000357,hypothetical protein SCRG_01405,Saccharomyces cerevisiae,,
MER0000358,OSW3 peptidase,Saccharomyces cerevisiae,,
MER0000359,isp6 g.p.,Schizosaccharomyces pombe,,
MER0000361,apr5 peptidase,Dichelobacter nodosus,,
MER0000362,bpr peptidase,Dichelobacter nodosus,,
MER0000364,kexin,Saccharomyces cerevisiae,[S08.070]#S08B#{peptidase unit: 144-439},KEX2_YEAST
MER0000373,furin-1,arthropod-type,,
MER0000374,kexin-like peptidse,Pneumocystis-type,,
MER0000375,furin,Homo sapiens,[S08.071]#S08B#{peptidase unit: 131-421},FURI_HUMAN
MER0000376,PCSK1 peptidase,Homo sapiens,[S08.072]#S08B#{peptidase unit: 143-441},NEC1_HUMAN
MER0000377,PCSK2 peptidase,Homo sapiens,[S08.073]#S08B#{peptidase unit: 142-439},NEC2_HUMAN
MER0000381,PCSK4 peptidase,Mus musculus,[S08.074]#S08B#{peptidase unit: 133-423},NEC3_MOUSE
MER0000383,PCSK6 peptidase,Homo sapiens,[S08.075]#S08B#{peptidase unit: 182-473},PCK6_HUMAN
MER0000389,PrcA peptidase,Anabaena variabilis,[S08.079]#S08B#{peptidase unit: 194-540},PRCA_ANAVT
MER0000392,prolyl oligopeptidase,Sus scrofa,[S09.001]#S09A#{peptidase unit: 428-710},PPCE_PIG
MER0000398,prolyl oligopeptidase homologue,Pyrococcus-type,,
MER0000399,fibroblast activation protein alpha subunit,Homo sapiens,[S09.007]#S09B#{peptidase unit: 498-758},SEPR_HUMAN
MER0000401,dipeptidyl-peptidase IV,eukaryote,,
MER0000403,dipeptidylpeptidase homologue DPP6,Homo sapiens,[S09.973]#S09X#{peptidase unit: 586-849},DPP6_HUMAN
MER0000404,dipeptidyl aminopeptidase A,Saccharomyces cerevisiae,[S09.005]#S09B#{peptidase unit: 656-920},ST13_YEAST
MER0000405,dipeptidyl aminopeptidase B,fungus,,
MER0000408,acylaminoacyl-peptidase,Homo sapiens,[S09.004]#S09C#{peptidase unit: 477-728},ACPH_HUMAN
MER0000410,oligopeptidase B,Escherichia coli,[S09.010]#S09A#{peptidase unit: 397-682},PTRB_ECOLI
MER0000412,carboxypeptidase OcpA,Penicillium janthinellum,[S10.008]#S10#{peptidase unit: 1-421},CPS1_PENJA
MER0000413,kex carboxypeptidase,Saccharomyces cerevisiae,[S10.007]#S10#{peptidase unit: 37-494},KEX1_YEAST
MER0000414,Sxa2 carboxypeptidase,Schizosaccharomyces pombe,[S10.012]#S10#{peptidase unit: 65-507},SXA2_SCHPO
MER0000416,serine carboxypeptidase D,Triticum aestivum,[S10.005]#S10#{peptidase unit: 15-437},CBP2_WHEAT
MER0000418,serine carboxypeptidase C,Hordeum vulgare,[S10.004]#S10#{peptidase unit: 41-499},CBP1_HORVU
MER0000425,At3g10410,Arabidopsis thaliana,,
MER0000426,F41C3.5 g.p.,Caenorhabditis elegans,,
MER0000428,vitellogenic carboxypeptidase-like protein,Aedes aegypti,[S10.003]#S10#{peptidase unit: 70-471},VCP_AEDAE
MER0000430,serine carboxypeptidase A,Homo sapiens,[S10.002]#S10#{peptidase unit: 39-480},PRTP_HUMAN
MER0000431,prolyl aminopeptidase,Neisseria gonorrhoeae,[S33.001]#S33#{peptidase unit: 1-310},PIP_NEIGO
MER0000432,epoxide hydrolase,Homo sapiens,[S33.971]#S33#{peptidase unit: 120-455},HYEP_HUMAN
MER0000436,iminopeptidase I,Lactobacillus delbrueckii,and similar,
MER0000437,prolyl dipeptidase,Lactobacillus-type,,
MER0000439,tripeptidyl-peptidase A,Streptomyces lividans,[S33.002]#S33#{peptidase unit: 69-520},Q54410
MER0000440,tripeptidyl-peptidase B,Streptomyces lividans,[S33.006]#S33#{peptidase unit: 72-539},SLSLPD
MER0000441,tripeptidyl-peptidase C,Streptomyces lividans,[S33.007]#S33#{peptidase unit: 61-513},Q54399
MER0000443,Xaa-Pro dipeptidyl-peptidase,Lactococcus lactis,[S15.001]#S15#{peptidase unit: 1-763},PEPX_LACLC
MER0000446,lysosomal Pro-Xaa carboxypeptidase,Homo sapiens,[S28.001]#S28#{peptidase unit: 46-496},PCP_HUMAN
MER0000448,D-Ala-D-Ala carboxypeptidase A,Geobacillus stearothermophilus,[S11.001]#S11#{peptidase unit: 31-452},DACA_BACST
MER0000449,penicillin-binding protein 5-type peptidase,Escherichia coli,[S11.008]#S11#{peptidase unit: 42-291},DACA_ECOLI
MER0000450,penicillin-binding protein 6,Escherichia coli,[S11.003]#S11#{peptidase unit: 38-403},YP_001742946
MER0000451,penicillin-binding protein 6b-type peptidase,Escherichia coli,[S11.009]#S11#{peptidase unit: 34-390},YP_001743130
MER0000452,"D,D-carboxypeptidase PBP3",Streptococcus-type,,
MER0000453,K15-type DD-transpeptidase,Streptomyces sp. K15,[S11.004]#S11#{peptidase unit: 29-291},DACX_STRSK
MER0000454,D-Ala-D-Ala carboxypeptidase DacF,Bacillus subtilis,[S11.005]#S11#{peptidase unit: 33-389},DACF_BACSU
MER0000455,murein-DD-endopeptidase,Escherichia coli,[S11.002]#S11#{peptidase unit: 35-313},NP_754553
MER0000457,aminopeptidase DmpB,Ochrobactrum anthropi,[S12.002]#S12#{peptidase unit: 2-337},Q9ZBA9
MER0000459,D-Ala-D-Ala carboxypeptidase B,Streptomyces lividans,[S12.001]#S12#{peptidase unit: 32-380},DAC_STRSQ
MER0000463,class C beta-lactamase,Enterobacter cloacae,[S12.006]#S12#{peptidase unit: 30-381},AMPC_ENTCL
MER0000471,D-Ala-D-Ala carboxypeptidase,Actinomadura-type,,
MER0000472,D-Ala-D-Ala peptidase C,Escherichia coli,[S13.001]#S13#{peptidase unit: 21-477},ABE09059
MER0000474,peptidase Clp,type 1,,
MER0000485,Lon-A peptidase,Escherichia coli,[S16.001]#S16#{peptidase unit: 537-784},LON_ECOLI
MER0000488,Lon peptidase,type 4,,
MER0000491,C06C3.8 g.p.,Caenorhabditis elegans,,
MER0000495,PIM1 peptidase,Homo sapiens,[S16.002]#S16#{peptidase unit: 705-959},EAW69154
MER0000496,PIM1 peptidase,Saccharomyces-type,,
MER0000531,pbs-5 g.p.,Caenorhabditis elegans,,
MER0000542,proteasome subunit beta2c,Saccharomyces cerevisiae,[T01.011]#T01A#{peptidase unit: 30-232},PSB7_YEAST
MER0000547,"archaean proteasome, alpha subunit",Thermoplasma acidophilum,[T01.970]#T01A#{peptidase unit: 35-200},PSMA_THEAC
MER0000548,"archaean proteasome, beta component",Thermoplasma acidophilum,[T01.002]#T01A#{peptidase unit: 9-211},PSMB_THEAC
MER0000549,proteasome subunit alpha 1,Homo sapiens,[T01.976]#T01A#{peptidase unit: 34-195},PSA1_HUMAN
MER0000550,proteasome subunit alpha 2,Homo sapiens,[T01.972]#T01A#{peptidase unit: 32-225},PSA2_HUMAN
MER0000551,proteasome subunit beta 1,Homo sapiens,[T01.986]#T01A#{peptidase unit: 39-230},P20618
MER0000552,proteasome subunit beta1i,Homo sapiens,[T01.013]#T01A#{peptidase unit: 21-219},PSB9_HUMAN
MER0000553,proteasome subunit alpha 3,Homo sapiens,[T01.977]#T01A#{peptidase unit: 28-138},PSA3_HUMAN
MER0000554,proteasome subunit alpha 4,Homo sapiens,[T01.973]#T01A#{peptidase unit: 33-239},PSA4_HUMAN
MER0000555,proteasome subunit beta5i,Homo sapiens,[T01.015]#T01A#{peptidase unit: 73-276},PSB8_HUMAN
MER0000557,proteasome subunit alpha 6,Homo sapiens,[T01.971]#T01A#{peptidase unit: 24-140},PSA6_HUMAN
MER0000558,proteasome subunit alpha 5,Homo sapiens,[T01.975]#T01A#{peptidase unit: 28-146},PSA5_HUMAN
MER0000569,repressor LexA,Escherichia coli,[S24.001]#S24#{peptidase unit: 85-202},LEXA_ECOLI
MER0000576,UmuD protein,Escherichia coli,[S24.003]#S24#{peptidase unit: 25-139},UMUD_ECOLI
MER0000587,phage lambda repressor protein,,[S24.002]#S24#{peptidase unit: 103-236},RPC1_LAMBD
MER0000589,signal peptidase I,Escherichia coli,[S26.001]#S26A#{peptidase unit: 78-324},ABJ01988
MER0000592,signal peptidase SipS,Bacillus subtilis,[S26.003]#S26A#{peptidase unit: 30-184},LEPS_BACSU
MER0000597,mitochondrial inner membrane peptidase 1,Saccharomyces cerevisiae,[S26.002]#S26A#{peptidase unit: 27-190},IMP1_YEAST
MER0000598,mitochondrial inner membrane peptidase 2,Saccharomyces cerevisiae,[S26.012]#S26A#{peptidase unit: 28-161},IMP2_YEAST
MER0000600,signalase,animal,18 kDa component,
MER0000602,signalase,animal,21 kDa component,
MER0000606,omptin,Escherichia coli,[A26.001]#A26#{peptidase unit: 21-317},OMPT_ECO57
MER0000607,OmpP peptidase,,[A26.002]#A26#{peptidase unit: 21-315},OMPP_ECOLI
MER0000608,protein E,Salmonella sp.,,
MER0000611,Varicella zoster assemblin,,[S21.005]#S21#{peptidase unit: 1-236},VP40_VZVD
MER0000612,Epstein-Barr virus-type assemblin,,[S21.003]#S21#{peptidase unit: 1-235},VP40_EBV
MER0000613,cytomegalovirus assemblin,,[S21.002]#S21#{peptidase unit: 1-256},VP40_HCMVA
MER0000622,cathepsin L,Homo sapiens,[C01.032]#C01A#{peptidase unit: 113-333},CATL_HUMAN
MER0000628,CPL-1 peptidase,Caenorhabditis elegans-type,,
MER0000629,cathepsin H,Homo sapiens,[C01.040]#C01A#{peptidase unit: 115-334},CATH_HUMAN
MER0000633,cathepsin S,Homo sapiens,[C01.034]#C01A#{peptidase unit: 114-331},CATS_HUMAN
MER0000644,cathepsin K,Homo sapiens,[C01.036]#C01A#{peptidase unit: 115-329},CATK_HUMAN
MER0000646,V-cath peptidase,,[C01.083]#C01A#{peptidase unit: 111-322},CATV_NPVAC
MER0000647,papain,Carica papaya,[C01.001]#C01A#{peptidase unit: 134-345},PAPA_CARPA
MER0000648,actinidin,Actinidia deliciosa,[C01.007]#C01A#{peptidase unit: 127-344},ACTN_ACTCH
MER0000649,brassicain,Brassica napus,[C01.021]#C01A#{peptidase unit: 100-317},CYS4_BRANA
MER0000650,vignain,Vigna mungo,[C01.010]#C01A#{peptidase unit: 128-346},CYSP_VIGMU
MER0000657,At2g21430,Arabidopsis thaliana,,
MER0000659,aleurain,Hordeum vulgare,[C01.041]#C01A#{peptidase unit: 144-361},ALEU_HORVU
MER0000660,endopeptidase-B,Hordeum-type,,
MER0000664,rhodesain,Trypanosoma brucei,[C01.072]#C01A#{peptidase unit: 126-340},CYSP_TRYBB
MER0000665,cruzipain 2,Trypanosoma cruzi,[C01.100]#C01A#{peptidase unit: 122-337},Q26908
MER0000667,CPA peptidase,Leishmania mexicana,[C01.076]#C01A#{peptidase unit: 128-342},LCPA_LEIME
MER0000668,CPB peptidase,Leishmania mexicana,[C01.074]#C01A#{peptidase unit: 125-341},LCPB_LEIME
MER0000672,papain homologue,Theileria-type,,
MER0000675,falcipain-1,Plasmodium falciparum,[C01.077]#C01A#{peptidase unit: 337-569},CYSP_PLAFA
MER0000680,histolysain,Entamoeba histolytica,[C01.050]#C01A#{peptidase unit: 98-312},CPP2_ENTHI
MER0000683,Cysteine endopeptidase 2,Dictyostelium discoideum,,
MER0000686,cathepsin B,Homo sapiens,[C01.060]#C01A#{peptidase unit: 80-331},CATB_HUMAN
MER0000691,cathepsin B-like peptidase,platyhelminth,,
MER0000695,papain homologue,nematode,,
MER0000697,cpr-1 g.p.,Caenorhabditis elegans,,
MER0000701,"cathepsin B-like peptidase, nematode",Haemonchus contortus,[C01.101]#C01A#{peptidase unit: 78-338},CYS1_HAECO
